reaction_id	ec
R_rxn00001_c0	3.6.1.1
R_rxn00001_d0	3.6.1.1
R_rxn00001_g0	3.6.1.1
R_rxn00001_v0	3.6.1.1
R_rxn00001_w0	3.6.1.1
R_rxn00006_c0	1.11.1.21;1.11.1.6
R_rxn00006_x0	1.11.1.21;1.11.1.6
R_rxn00018_d0	4.1.1.39
R_rxn00018_x0	4.1.1.39
R_rxn00048_d0	2.5.1.9
R_rxn00069_d0	1.4.1.14
R_rxn00076_c0	3.6.1.22;3.6.1.9
R_rxn00076_d0	3.6.1.22;3.6.1.9
R_rxn00077_c0	2.7.1.23
R_rxn00077_d0	2.7.1.23
R_rxn00078_c0	2.7.1.86
R_rxn00078_x0	2.7.1.86
R_rxn00083_c0	1.6.1.1;1.6.1.2;1.6.1.3
R_rxn00086_c0	1.6.4.2;1.8.1.7
R_rxn00086_d0	1.6.4.2;1.8.1.7
R_rxn00086_m0	1.6.4.2;1.8.1.7
R_rxn00088_c0	3.1.3.2
R_rxn00097_c0	2.7.4.3
R_rxn00097_d0	2.7.4.3
R_rxn00097_m0	2.7.4.3
R_rxn00097_n0	2.7.4.3
R_rxn00100_c0	2.7.1.24
R_rxn00100_x0	2.7.1.24
R_rxn00101_c0	3.5.1.5
R_rxn00102_c0	4.2.1.1
R_rxn00102_d0	4.2.1.1
R_rxn00105_c0	2.7.7.1;2.7.7.18
R_rxn00116_c0	3.6.1.5;3.6.1.6
R_rxn00116_g0	3.6.1.5;3.6.1.6
R_rxn00117_c0	2.7.4.6
R_rxn00117_d0	2.7.4.6
R_rxn00117_m0	2.7.4.6
R_rxn00117_n0	2.7.4.6
R_rxn00117_x0	2.7.4.6
R_rxn00119_c0	2.7.4.14;2.7.4.22;2.7.4.4
R_rxn00120_c0	3.6.1.15;3.6.1.39;3.6.1.5
R_rxn00120_g0	3.6.1.15;3.6.1.39;3.6.1.5
R_rxn00121_c0	3.6.1.18;3.6.1.9
R_rxn00121_d0	3.6.1.18;3.6.1.9
R_rxn00122_c0	2.7.7.2
R_rxn00122_d0	2.7.7.2
R_rxn00123_c0	3.1.3.74
R_rxn00124_c0	2.7.1.35
R_rxn00124_d0	2.7.1.35
R_rxn00126_c0	2.5.1.6
R_rxn00126_n0	2.5.1.6
R_rxn00128_c0	4.4.1.14
R_rxn00134_c0	2.7.1.20;2.7.1.74
R_rxn00138_c0	6.3.1.5;6.3.5.1
R_rxn00139_c0	2.4.2.7;2.4.2.8
R_rxn00141_c0	3.3.1.1
R_rxn00148_c0	2.7.1.40
R_rxn00148_d0	2.7.1.40
R_rxn00151_d0	2.7.9.1
R_rxn00154_d0	1.2.4.1;1.8.1.4;2.3.1.12
R_rxn00154_m0	1.2.4.1;1.8.1.4;2.3.1.12
R_rxn00154_n0	1.2.4.1;1.8.1.4;2.3.1.12
R_rxn00159_m0	1.1.1.38;1.1.1.39
R_rxn00161_c0	1.1.1.40
R_rxn00161_d0	1.1.1.40
R_rxn00166_c0	4.3.1.18
R_rxn00168_c0	4.1.1.1
R_rxn00175_d0	6.2.1.1
R_rxn00178_c0	2.3.1.9
R_rxn00178_x0	2.3.1.9
R_rxn00179_c0	2.7.2.11
R_rxn00179_d0	2.7.2.11
R_rxn00184_c0	1.4.1.3;1.4.1.4
R_rxn00187_c0	6.3.1.2
R_rxn00187_d0	6.3.1.2
R_rxn00187_m0	6.3.1.2
R_rxn00189_c0	3.5.1.2;3.5.1.38;6.3.5.4;6.3.5.5
