reaction_id	gpr
R_rxn00001_c0	g100811.t1 or g102580.t1 or g105402.t1 or g110766.t1 or g121438.t1 or g138698.t1 or g138979.t1 or g169731.t1 or g204358.t1 or g23213.t1 or g23892.t1 or g47240.t1 or g62836.t1 or g66084.t1 or g66527.t1 or g67721.t1 or g79706.t1 or g83433.t1
R_rxn00001_d0	g100811.t1 or g102580.t1 or g105402.t1 or g110766.t1 or g121438.t1 or g138698.t1 or g138979.t1 or g169731.t1 or g204358.t1 or g23213.t1 or g23892.t1 or g47240.t1 or g62836.t1 or g66084.t1 or g66527.t1 or g67721.t1 or g79706.t1 or g83433.t1
R_rxn00001_g0	g100811.t1 or g102580.t1 or g105402.t1 or g110766.t1 or g121438.t1 or g138698.t1 or g138979.t1 or g169731.t1 or g204358.t1 or g23213.t1 or g23892.t1 or g47240.t1 or g62836.t1 or g66084.t1 or g66527.t1 or g67721.t1 or g79706.t1 or g83433.t1
R_rxn00001_v0	g100811.t1 or g102580.t1 or g105402.t1 or g110766.t1 or g121438.t1 or g138698.t1 or g138979.t1 or g169731.t1 or g204358.t1 or g23213.t1 or g23892.t1 or g47240.t1 or g62836.t1 or g66084.t1 or g66527.t1 or g67721.t1 or g79706.t1 or g83433.t1
R_rxn00001_w0	g100811.t1 or g102580.t1 or g105402.t1 or g110766.t1 or g121438.t1 or g138698.t1 or g138979.t1 or g169731.t1 or g204358.t1 or g23213.t1 or g23892.t1 or g47240.t1 or g62836.t1 or g66084.t1 or g66527.t1 or g67721.t1 or g79706.t1 or g83433.t1
R_rxn00006_c0	g188526.t1 or g33008.t1 or g69086.t1 or g69088.t1
R_rxn00006_x0	g188526.t1 or g33008.t1 or g69086.t1 or g69088.t1
R_rxn00018_d0	g103683.t1 or g106415.t1 or g139171.t1 or g196785.t1 or g197803.t1 or g197805.t1 or g30702.t1 or g33351.t1 or g33353.t1 or g33354.t1 or g35173.t1 or g49796.t1 or g80289.t1 or g84008.t1
R_rxn00018_x0	g103683.t1 or g106415.t1 or g139171.t1 or g196785.t1 or g197803.t1 or g197805.t1 or g30702.t1 or g33351.t1 or g33353.t1 or g33354.t1 or g35173.t1 or g49796.t1 or g80289.t1 or g84008.t1
R_rxn00048_d0	g117276.t1 or g118420.t1
R_rxn00069_d0	g45103.t1 or g46081.t1
R_rxn00076_c0	g101600.t1 or g114854.t1 or g114855.t1
R_rxn00076_d0	g101600.t1 or g114854.t1 or g114855.t1
R_rxn00077_c0	g1562.t1 or g176998.t1 or g634.t1 or g98596.t1 or g99696.t1
R_rxn00077_d0	g1562.t1 or g176998.t1 or g634.t1 or g98596.t1 or g99696.t1
R_rxn00078_c0	
R_rxn00078_x0	
R_rxn00083_c0	
R_rxn00086_c0	g157074.t1 or g157715.t1 or g159086.t1 or g159639.t1
R_rxn00086_d0	g157074.t1 or g157715.t1 or g159086.t1 or g159639.t1
R_rxn00086_m0	g157074.t1 or g157715.t1 or g159086.t1 or g159639.t1
R_rxn00088_c0	g101276.t1 or g44686.t1 or g48620.t1 or g48621.t1
R_rxn00097_c0	g100272.t1 or g101591.t1 or g101621.t1 or g124394.t1 or g127169.t1 or g133492.t1 or g139516.t1 or g140825.t1 or g141227.t1 or g170748.t1 or g177655.t1 or g187732.t1 or g204426.t1 or g34294.t1 or g34430.t1 or g62468.t1 or g62471.t1 or g65299.t1 or g66916.t1 or g71632.t1 or g74700.t1 or g99138.t1
