gene_id	ec
g100002.t1	2.3.2.27
g100008.t1	1.2.1.44
g100013.t1	2.4.1.215;2.4.2.40
g100017.t1	2.4.1.215;2.4.2.40
g100021.t1	2.4.1.215;2.4.2.40
g100032.t1	2.4.1.215;2.4.2.40
g100051.t1	2.7.4.2
g100055.t1	2.7.4.2
g100056.t1	2.5.1.108
g100063.t1	2.3.1.91
g100100.t1	2.3.1.91
g100120.t1	2.7.11.1
g100127.t1	1.23.1.1;1.23.1.2;1.23.1.3;1.23.1.4
g100128.t1	1.23.1.1;1.23.1.2;1.23.1.3;1.23.1.4
g100135.t1	3.2.1.4
g100137.t1	3.6.4.7
g100138.t1	3.6.4.7
g100141.t1	3.6.4.13
g100168.t1	3.1.3.43
g100185.t1	3.6.4.12
g100186.t1	3.6.4.12
g100208.t1	1.14.13.168
g100213.t1	3.1.3.16
g100225.t1	2.4.2.9;2.7.1.48;5.1.3.1
g100226.t1	2.4.2.9;2.7.1.48;5.1.3.1
g100227.t1	2.3.1.258
g100228.t1	2.3.1.199
g100234.t1	2.7.1.150
g100240.t1	3.1.26.5
g100241.t1	3.1.3.48
g100243.t1	3.6.4.13
g100246.t1	1.14.13.201
g100249.t1	1.14.13.201
g100254.t1	2.7.11.1
g100255.t1	2.7.11.1
g10026.t1	2.3.2.31
g100264.t1	2.3.2.27
g100265.t1	5.3.4.1
g100272.t1	2.7.4.3
g100275.t1	2.4.1.65
g100276.t1	2.3.1.254
g100295.t1	2.7.11.1
g100301.t1	3.6.4.12
g100322.t1	3.2.1.15;3.2.1.67
g100323.t1	1.1.1.195
g100324.t1	1.1.1.195
g100325.t1	1.1.1.195
g100342.t1	3.6.3.44
g100352.t1	2.7.11.1
g10036.t1	1.1.1.348
g100379.t1	3.5.1.3
g100388.t1	2.1.1.112
g100414.t1	3.5.1.3
g100423.t1	3.6.3.44
g100426.t1	3.6.3.44
g100433.t1	3.6.3.44
g100443.t1	2.7.11.22;2.7.11.23
g100444.t1	1.1.1.146
g100457.t1	3.2.1.154;3.2.1.26
g100458.t1	3.2.1.154;3.2.1.26
g100461.t1	5.1.3.5
g100466.t1	1.1.1.3;2.7.2.4
g100468.t1	3.2.1.78
g100470.t1	3.2.1.78
g100474.t1	2.1.1.240
g100482.t1	3.2.1.78
g100485.t1	2.1.1.240
g100486.t1	2.1.1.240
g100493.t1	2.3.2.27
g1005.t1	2.3.2.27
g100503.t1	2.7.11.1
g100504.t1	3.6.4.12
g100556.t1	3.6.3.14
g10056.t1	3.6.4.12
g100564.t1	3.2.1.113
g100565.t1	3.2.1.113
g100566.t1	3.2.1.113
g100597.t1	2.4.1.221
g1006.t1	2.3.2.27
g100601.t1	2.3.2.27
g100602.t1	2.3.2.23
g100603.t1	2.6.1.2
g100623.t1	2.3.2.32
g100625.t1	2.7.11.1
g100628.t1	2.3.1.158
g100632.t1	4.2.3.1
g100635.t1	2.3.1.97;2.7.11.1
g100638.t1	2.7.11.1
g100639.t1	3.6.3.1
g100644.t1	3.1.3.5
g100653.t1	3.2.1.23
g100659.t1	1.1.99.1;4.1.1.106
g100666.t1	3.1.3.74;3.1.3.75
g100668.t1	3.1.3.74;3.1.3.75
g100669.t1	3.1.3.74;3.1.3.75
g100670.t1	3.1.3.74;3.1.3.75
g100706.t1	2.7.1.1
g100707.t1	2.7.7.19
g100735.t1	3.6.4.13
g100743.t1	1.14.11.12
g100747.t1	3.1.3.16;3.1.3.48
g100755.t1	3.6.4.3
g100760.t1	1.14.11.15
g100779.t1	3.1.1.5
g100791.t1	3.2.1.67
g100793.t1	3.1.4.4
g100811.t1	3.6.1.1
g100814.t1	3.6.4.13
g100818.t1	6.1.1.15
g100821.t1	4.2.3.104;4.2.3.13;4.2.3.133;4.2.3.47;4.2.3.57;4.2.3.73;4.2.3.75;4.2.3.86;4.2.3.88
g100843.t1	1.2.1.44
g100845.t1	2.7.11.11
g100847.t1	2.1.1.71
g100848.t1	2.1.1.71
g100869.t1	2.7.11.1
g100876.t1	4.2.1.93
g100883.t1	2.3.2.31
g100884.t1	6.2.1.12
g100896.t1	1.1.1.184;1.1.1.189;1.1.1.197
g100910.t1	3.2.1.24
g100914.t1	3.6.1.52
g100915.t1	2.7.11.1
g100916.t1	2.7.11.1
g100918.t1	2.7.11.1
g100921.t1	2.1.1.103
g100924.t1	2.7.11.1;2.7.11.25
g100925.t1	2.7.11.24
g100930.t1	2.5.1.18
g100941.t1	2.1.1.260
g100945.t1	2.5.1.112;2.5.1.27
g100961.t1	1.1.1.348
g100981.t1	2.7.11.1
g100990.t1	3.1.1.96
g100991.t1	3.4.19.5
g101006.t1	3.1.4.46
g101007.t1	3.6.4.12
g101010.t1	3.6.4.12
g101022.t1	3.1.4.4
g101027.t1	1.1.1.22
g101034.t1	3.4.22.16
g101038.t1	3.2.1.166
g101044.t1	3.6.1.12
g101082.t1	2.3.2.23
g101085.t1	1.2.1.88
g101086.t1	4.2.2.2
g101087.t1	2.2.1.9;4.2.1.113;4.2.99.20;5.4.4.2
g101088.t1	4.2.2.2
g101089.t1	2.2.1.9;4.2.1.113;4.2.99.20;5.4.4.2
g101092.t1	1.1.1.100
g101094.t1	3.6.3.6
g1011.t1	2.1.1.37
g101115.t1	2.7.11.1
g101125.t1	1.2.1.8
g101134.t1	2.7.11.1
g101141.t1	2.3.2.27
g101145.t1	2.3.2.27
g101160.t1	1.1.1.300
g101161.t1	3.6.4.13
g101162.t1	3.6.4.13
g101163.t1	3.6.4.13
g101166.t1	2.6.1.99
g101170.t1	3.5.1.98
g101172.t1	1.4.3.21
g101182.t1	2.7.11.1
g101186.t1	4.2.2.2
